# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02334e-05 to 10.5702 h/Mpc,
# number of wavenumbers equal to 615
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       9.162442309766e-02       2.855009910228e+06       2.838060546047e+06       7.318551535125e+01       6.557328032563e+01       0.000000000000e+00       2.851474245021e+06 
       9.473065395465e-02       2.724952612599e+06       2.707777836839e+06       6.836243235525e+01       6.054725668543e+01       0.000000000000e+00       2.721420934087e+06 
       9.784846113389e-02       2.608251219611e+06       2.591216196740e+06       5.847905516895e+01       5.303884744336e+01       0.000000000000e+00       2.604776970879e+06 
       1.009733952733e-01       2.505438899386e+06       2.488910691345e+06       4.986842181510e+01       4.937098021414e+01       0.000000000000e+00       2.502075663013e+06 
       1.041026958044e-01       2.415997809942e+06       2.400304811464e+06       4.694526204917e+01       4.446492055509e+01       0.000000000000e+00       2.412793237836e+06 
       1.072346646422e-01       2.338561620997e+06       2.323961528920e+06       4.244138516711e+01       4.085756620921e+01       0.000000000000e+00       2.335552647099e+06 
       1.103682626709e-01       2.271215559092e+06       2.257873808504e+06       3.719042165527e+01       3.635696551079e+01       0.000000000000e+00       2.268425171090e+06 
       1.135028559525e-01       2.211622710079e+06       2.199603200408e+06       3.697242362237e+01       3.375093334934e+01       0.000000000000e+00       2.209058618537e+06 
       1.166380583786e-01       2.157315104597e+06       2.146582086584e+06       3.323446677975e+01       3.129340632614e+01       0.000000000000e+00       2.154970076655e+06 
       1.197736349529e-01       2.106001381026e+06       2.096430839487e+06       3.101340369463e+01       2.856748663853e+01       0.000000000000e+00       2.103854981549e+06 
       1.229094426498e-01       2.055638121419e+06       2.047037461413e+06       3.086388640214e+01       2.720965417802e+01       0.000000000000e+00       2.053659736870e+06 
       1.260453943628e-01       2.004674315443e+06       1.996806447755e+06       2.457526038087e+01       2.513922914809e+01       0.000000000000e+00       2.002826794927e+06 
       1.291814369686e-01       1.952090046775e+06       1.944699713441e+06       2.340657459763e+01       2.347419221906e+01       0.000000000000e+00       1.950333689804e+06 
       1.323175379950e-01       1.897429684666e+06       1.890268926584e+06       2.458158192019e+01       2.131878133807e+01       0.000000000000e+00       1.895726077368e+06 
       1.354536775225e-01       1.840781954509e+06       1.833632292976e+06       1.984582033592e+01       2.000233932466e+01       0.000000000000e+00       1.839097296496e+06 
       1.385898432666e-01       1.782680786528e+06       1.775370413282e+06       1.892376406164e+01       1.813066284704e+01       0.000000000000e+00       1.780988465387e+06 
       1.417260275918e-01       1.724001539322e+06       1.716416213409e+06       1.872593795903e+01       1.665674148165e+01       0.000000000000e+00       1.722283740964e+06 
       1.448622256980e-01       1.665837821287e+06       1.657925075191e+06       1.629165390802e+01       1.564146958469e+01       0.000000000000e+00       1.664086126030e+06 
       1.479984345189e-01       1.609301413487e+06       1.601068580570e+06       1.648903211430e+01       1.454812313547e+01       0.000000000000e+00       1.607516481305e+06 
       1.511346520524e-01       1.555476103409e+06       1.546982499476e+06       1.502169786025e+01       1.349063598684e+01       0.000000000000e+00       1.553666449927e+06 
       1.542708769530e-01       1.505233251617e+06       1.496578412665e+06       1.294141752176e+01       1.258273450552e+01       0.000000000000e+00       1.503413461473e+06 
       1.574071082834e-01       1.459204601399e+06       1.450513683854e+06       1.341190381527e+01       1.181826045974e+01       0.000000000000e+00       1.457393102492e+06 
       1.605433453635e-01       1.417686286627e+06       1.409094700995e+06       1.246085137040e+01       1.091277705603e+01       0.000000000000e+00       1.415903031121e+06 
       1.636795876773e-01       1.380694768949e+06       1.372333168061e+06       1.043058876802e+01       1.008399249606e+01       0.000000000000e+00       1.378958955212e+06 
       1.668158348157e-01       1.347912836703e+06       1.339894422843e+06       9.940418369799e+00       9.614245577038e+00       0.000000000000e+00       1.346241012318e+06 
       1.699520864417e-01       1.318813678741e+06       1.311224212755e+06       9.708365735449e+00       8.929451355926e+00       0.000000000000e+00       1.317218230141e+06 
       1.730883422680e-01       1.292675069071e+06       1.285566784239e+06       8.956422688422e+00       8.522614655597e+00       0.000000000000e+00       1.291163322674e+06 
       1.762246020435e-01       1.268690874729e+06       1.262080126130e+06       8.433078032529e+00       8.048412384022e+00       0.000000000000e+00       1.267264752383e+06 
       1.793608655439e-01       1.246027874542e+06       1.239896603551e+06       8.003207376206e+00       7.744298671848e+00       0.000000000000e+00       1.244684132200e+06 
       1.824971325664e-01       1.223930498266e+06       1.218230742892e+06       7.750152506661e+00       7.228501562758e+00       0.000000000000e+00       1.222661412533e+06 
       1.856334029253e-01       1.201756066728e+06       1.196417021520e+06       7.690126187606e+00       6.908655949984e+00       0.000000000000e+00       1.200550512292e+06 
       1.887696764495e-01       1.179043245735e+06       1.173979711487e+06       7.016283930575e+00       6.562720666870e+00       0.000000000000e+00       1.177887970577e+06 
       1.919059529806e-01       1.155499468576e+06       1.150621009223e+06       6.384737078372e+00       6.134035179539e+00       0.000000000000e+00       1.154380484851e+06 
       1.950422323710e-01       1.131036086647e+06       1.126255655250e+06       6.192536377628e+00       5.853818355951e+00       0.000000000000e+00       1.129939967034e+06 
       1.981785144832e-01       1.105754835500e+06       1.100996224977e+06       5.946736767259e+00       5.558020773326e+00       0.000000000000e+00       1.104669828427e+06 
       2.013147991885e-01       1.079897523635e+06       1.075101144680e+06       5.590098403390e+00       5.312061456647e+00       0.000000000000e+00       1.078814420686e+06 
       2.044510863663e-01       1.053813228223e+06       1.048939712987e+06       5.010040194784e+00       4.961218579180e+00       0.000000000000e+00       1.052725899008e+06 
       2.075873759037e-01       1.027912522057e+06       1.022944064124e+06       5.020048186904e+00       4.779288263800e+00       0.000000000000e+00       1.026818106788e+06 
       2.107236676943e-01       1.002612170503e+06       9.975517382365e+05       5.150991131042e+00       4.500669999880e+00       0.000000000000e+00       1.001510953989e+06 
       2.138599616383e-01       9.783069275301e+05       9.731755477629e+05       4.497030252286e+00       4.217939805736e+00       0.000000000000e+00       9.772019181504e+05 
       2.169962576416e-01       9.553101189107e+05       9.501428350691e+05       4.370845868540e+00       3.995575272343e+00       0.000000000000e+00       9.542064372927e+05 
       2.201325556155e-01       9.338529300195e+05       9.286937596287e+05       4.261218642126e+00       3.785881537407e+00       0.000000000000e+00       9.327570396673e+05 
       2.232688554763e-01       9.140477637933e+05       9.089444186109e+05       3.831733657274e+00       3.603028547364e+00       0.000000000000e+00       9.129666758128e+05 
       2.264051571452e-01       8.958950930738e+05       8.908938607912e+05       3.981702696778e+00       3.409828583645e+00       0.000000000000e+00       8.948355944247e+05 
       2.295414605475e-01       8.792917737199e+05       8.744330616470e+05       3.504422177343e+00       3.323177252476e+00       0.000000000000e+00       8.782597566169e+05 
       2.326777656126e-01       8.640602788444e+05       8.593751157007e+05       3.052614653096e+00       3.150044709923e+00       0.000000000000e+00       8.630602127798e+05 
       2.358140722737e-01       8.499379862956e+05       8.454459134878e+05       3.416336031923e+00       3.040648606826e+00       0.000000000000e+00       8.489726118683e+05 
       2.389503804676e-01       8.366548103877e+05       8.323628580455e+05       3.052333691341e+00       2.911803026075e+00       0.000000000000e+00       8.357249798897e+05 
       2.420866901344e-01       8.239123482085e+05       8.198154996246e+05       2.757100593615e+00       2.796513417479e+00       0.000000000000e+00       8.230171077457e+05 
       2.452230012171e-01       8.114447987075e+05       8.075273945804e+05       2.995922344055e+00       2.645538425529e+00       0.000000000000e+00       8.105815993358e+05 
       2.483593136618e-01       7.990224666443e+05       7.952605451782e+05       2.734868756189e+00       2.558012128230e+00       0.000000000000e+00       7.981875216260e+05 
       2.514956274172e-01       7.864693954215e+05       7.828335712633e+05       2.639851635067e+00       2.460419554328e+00       0.000000000000e+00       7.856581174967e+05 
       2.546319424346e-01       7.736881611858e+05       7.701466581213e+05       2.621137600346e+00       2.355059871458e+00       0.000000000000e+00       7.728956161420e+05 
       2.577682586677e-01       7.606335240693e+05       7.571552500465e+05       2.247305305680e+00       2.259899749192e+00       0.000000000000e+00       7.598548990352e+05 
       2.609045760723e-01       7.473343834716e+05       7.438915286243e+05       2.270210547679e+00       2.193442156132e+00       0.000000000000e+00       7.465653737122e+05 
       2.640408946064e-01       7.338648864851e+05       7.304350398612e+05       2.337221208977e+00       2.082041841621e+00       0.000000000000e+00       7.331020147712e+05 
       2.671772142301e-01       7.203430863366e+05       7.169105938356e+05       2.027499904930e+00       1.988104391889e+00       0.000000000000e+00       7.195839034556e+05 
       2.703135349051e-01       7.069148233199e+05       7.034713869186e+05       1.966836660838e+00       1.898529084653e+00       0.000000000000e+00       7.061579941804e+05 
       2.734498565952e-01       6.937241122015e+05       6.902687072417e+05       2.041445183894e+00       1.826808170159e+00       0.000000000000e+00       6.929694032472e+05 
